customer_id,gender,senior_citizen,partner,dependents,phone_service,multiple_lines,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,contract_type,paperless_billing,payment_method,monthly_charges,total_charges,tenure_months,churn_status,churn_date,risk_score,segment_name,cltv_score,churn_status_label,senior_citizen_label,partner_label,dependents_label,phone_service_label,paperless_billing_label,tenure_group,monthly_charge_group,total_charge_group,risk_group,cltv_group,year,month,quarter,month_name
0002-ORFBO,Female,False,True,True,True,No,DSL,No,Yes,No,Yes,Yes,No,One year,True,Mailed check,65.6,593.3,9,False,,35.0,New Customers,590.4,Active,Non-Senior,Has Partner,Has Dependents,Yes,Yes,0-12,61-90,0-1K,,0-2K,,,,
0003-MKNFE,Male,False,False,False,True,Yes,DSL,No,No,No,No,No,Yes,Month-to-month,False,Mailed check,59.9,542.4,9,False,,55.0,New Customers,539.1,Active,Non-Senior,Single,No Dependents,Yes,No,0-12,31-60,0-1K,,0-2K,,,,
0004-TLHLJ,Male,False,False,False,True,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,True,Electronic check,73.9,280.85,4,True,2025-09-10,75.0,High Risk,295.6,Churned,Non-Senior,Single,No Dependents,Yes,Yes,0-12,61-90,0-1K,,0-2K,2025.0,9.0,3.0,September
0011-IGKFF,Male,True,True,False,True,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,True,Electronic check,98.0,1237.85,13,True,2025-09-10,65.0,High Risk,1274.0,Churned,Senior,Has Partner,No Dependents,Yes,Yes,13-24,91-120,1K-2K,,0-2K,2025.0,9.0,3.0,September
0013-EXCHZ,Female,True,True,False,True,No,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,True,Mailed check,83.9,267.4,3,True,2025-09-10,70.0,High Risk,251.7,Churned,Senior,Has Partner,No Dependents,Yes,Yes,0-12,61-90,0-1K,,0-2K,2025.0,9.0,3.0,September
0013-MHZWF,Female,False,False,True,True,No,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,True,Credit card (automatic),69.4,571.45,9,False,,55.0,New Customers,624.6,Active,Non-Senior,Single,Has Dependents,Yes,Yes,0-12,61-90,0-1K,,0-2K,,,,
0013-SMEOE,Female,True,True,False,True,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,True,Bank transfer (automatic),109.7,7904.25,71,False,,15.0,High Value Loyal,7788.7,Active,Senior,Has Partner,No Dependents,Yes,Yes,60+,91-120,5K+,,6K-8K,,,,
0014-BMAQU,Male,False,True,False,True,Yes,Fiber optic,Yes,No,No,Yes,No,No,Two year,True,Credit card (automatic),84.65,5377.8,63,False,,15.0,High Value Loyal,5332.95,Active,Non-Senior,Has Partner,No Dependents,Yes,Yes,60+,61-90,5K+,,4K-6K,,,,
0015-UOCOJ,Female,True,False,False,True,No,DSL,Yes,No,No,No,No,No,Month-to-month,True,Electronic check,48.2,340.35,7,False,,75.0,High Risk,337.4,Active,Senior,Single,No Dependents,Yes,Yes,0-12,31-60,0-1K,,0-2K,,,,
0016-QLJIS,Female,False,True,True,True,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,True,Mailed check,90.45,5957.9,65,False,,0.0,High Value Loyal,5879.25,Active,Non-Senior,Has Partner,Has Dependents,Yes,Yes,60+,91-120,5K+,,4K-6K,,,,
0017-DINOC,Male,False,False,False,False,No phone service,DSL,Yes,No,No,Yes,Yes,No,Two year,False,Credit card (automatic),45.2,2460.55,54,False,,0.0,High Value Loyal,2440.8,Active,Non-Senior,Single,No Dependents,No,No,37-60,31-60,2K-3K,,2K-4K,,,,
0017-IUDMW,Female,False,True,True,True,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,True,Credit card (automatic),116.8,8456.75,72,False,,15.0,High Value Loyal,8409.6,Active,Non-Senior,Has Partner,Has Dependents,Yes,Yes,60+,91-120,5K+,,8K+,,,,
0018-NYROU,Female,False,True,False,True,No,Fiber optic,No,No,No,No,No,No,Month-to-month,True,Electronic check,68.95,351.5,5,False,,75.0,High Risk,344.75,Active,Non-Senior,Has Partner,No Dependents,Yes,Yes,0-12,61-90,0-1K,,0-2K,,,,
0019-EFAEP,Female,False,False,False,True,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,No,Two year,True,Bank transfer (automatic),101.3,7261.25,72,False,,15.0,High Value Loyal,7293.6,Active,Non-Senior,Single,No Dependents,Yes,Yes,60+,91-120,5K+,,6K-8K,,,,
0019-GFNTW,Female,False,False,False,False,No phone service,DSL,Yes,Yes,Yes,Yes,No,No,Two year,False,Bank transfer (automatic),45.05,2560.1,56,False,,0.0,High Value Loyal,2522.8,Active,Non-Senior,Single,No Dependents,No,No,37-60,31-60,2K-3K,,2K-4K,,,,
0020-INWCK,Female,False,True,True,True,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Two year,True,Credit card (automatic),95.75,6849.4,71,False,,15.0,High Value Loyal,6798.25,Active,Non-Senior,Has Partner,Has Dependents,Yes,Yes,60+,91-120,5K+,,6K-8K,,,,
0020-JDNXP,Female,False,True,True,False,No phone service,DSL,Yes,No,Yes,Yes,Yes,Yes,One year,False,Mailed check,61.25,1993.2,34,False,,10.0,High Value Loyal,2082.5,Active,Non-Senior,Has Partner,Has Dependents,No,No,25-36,61-90,1K-2K,,2K-4K,,,,
0021-IKXGC,Female,True,False,False,True,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,True,Electronic check,72.1,72.1,1,False,,75.0,High Risk,72.1,Active,Senior,Single,No Dependents,Yes,Yes,0-12,61-90,0-1K,,0-2K,,,,
0022-TCJCI,Male,True,False,False,True,No,DSL,Yes,No,Yes,No,No,Yes,One year,False,Credit card (automatic),62.7,2791.5,45,True,2025-09-10,10.0,High Value Loyal,2821.5,Churned,Senior,Single,No Dependents,Yes,No,37-60,61-90,2K-3K,,2K-4K,2025.0,9.0,3.0,September
0023-HGHWL,Male,True,False,False,False,No phone service,DSL,No,No,No,No,No,No,Month-to-month,True,Electronic check,25.1,25.1,1,True,2025-09-10,75.0,High Risk,25.1,Churned,Senior,Single,No Dependents,No,Yes,0-12,0-30,0-1K,,0-2K,2025.0,9.0,3.0,September
0023-UYUPN,Female,True,True,False,True,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,False,Electronic check,25.2,1306.3,50,False,,30.0,Medium Value Stable,1260.0,Active,Senior,Has Partner,No Dependents,Yes,No,37-60,0-30,1K-2K,,0-2K,,,,
0023-XUOPT,Female,False,True,False,True,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,False,Electronic check,94.1,1215.6,13,True,2025-09-10,65.0,High Risk,1223.3,Churned,Non-Senior,Has Partner,No Dependents,Yes,No,13-24,91-120,1K-2K,,0-2K,2025.0,9.0,3.0,September
0027-KWYKW,Female,False,True,True,True,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,True,Electronic check,83.75,1849.95,23,False,,65.0,High Risk,1926.25,Active,Non-Senior,Has Partner,Has Dependents,Yes,Yes,13-24,61-90,1K-2K,,0-2K,,,,
0030-FNXPP,Female,False,False,False,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,False,Mailed check,19.85,57.2,3,False,,55.0,New Customers,59.55,Active,Non-Senior,Single,No Dependents,Yes,No,0-12,0-30,0-1K,,0-2K,,,,
0031-PVLZI,Female,False,True,True,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,False,Mailed check,20.35,76.35,4,True,2025-09-10,55.0,New Customers,81.4,Churned,Non-Senior,Has Partner,Has Dependents,Yes,No,0-12,0-30,0-1K,,0-2K,2025.0,9.0,3.0,September
0032-PGELS,Female,False,True,True,False,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,False,Bank transfer (automatic),30.5,30.5,1,True,2025-09-10,55.0,New Customers,30.5,Churned,Non-Senior,Has Partner,Has Dependents,No,No,0-12,31-60,0-1K,,0-2K,2025.0,9.0,3.0,September
0036-IHMOT,Female,False,True,True,True,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,True,Bank transfer (automatic),103.7,5656.75,55,False,,25.0,Medium Value Stable,5703.5,Active,Non-Senior,Has Partner,Has Dependents,Yes,Yes,37-60,91-120,5K+,,4K-6K,,,,
0040-HALCW,Male,False,True,True,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,False,Credit card (automatic),20.4,1090.6,54,False,,0.0,Medium Value Stable,1101.6,Active,Non-Senior,Has Partner,Has Dependents,Yes,No,37-60,0-30,1K-2K,,0-2K,,,,
0042-JVWOJ,Male,False,False,False,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,True,Bank transfer (automatic),19.6,471.85,26,False,,10.0,Standard,509.6,Active,Non-Senior,Single,No Dependents,Yes,Yes,25-36,0-30,0-1K,,0-2K,,,,
0042-RLHYP,Female,False,True,True,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,False,Bank transfer (automatic),19.7,1396.9,69,False,,0.0,Medium Value Stable,1359.3,Active,Non-Senior,Has Partner,Has Dependents,Yes,No,60+,0-30,1K-2K,,0-2K,,,,
0048-LUMLS,Male,False,True,True,True,No,Fiber optic,No,No,No,No,Yes,Yes,One year,False,Credit card (automatic),91.2,3247.55,37,False,,25.0,Medium Value Stable,3374.4,Active,Non-Senior,Has Partner,Has Dependents,Yes,No,37-60,91-120,3K-5K,,2K-4K,,,,
0048-PIHNL,Female,False,True,False,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,False,Bank transfer (automatic),20.45,900.9,49,False,,10.0,Medium Value Stable,1002.05,Active,Non-Senior,Has Partner,No Dependents,Yes,No,37-60,0-30,0-1K,,0-2K,,,,
0052-DCKON,Male,False,True,False,True,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,False,Bank transfer (automatic),115.8,7942.15,66,False,,25.0,Medium Value Stable,7642.8,Active,Non-Senior,Has Partner,No Dependents,Yes,No,60+,91-120,5K+,,6K-8K,,,,
0052-YNYOT,Female,False,False,False,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,False,Electronic check,20.55,1343.4,67,False,,30.0,Medium Value Stable,1376.85,Active,Non-Senior,Single,No Dependents,Yes,No,60+,0-30,1K-2K,,0-2K,,,,
0056-EPFBG,Male,False,True,True,False,No phone service,DSL,Yes,No,Yes,Yes,No,No,Two year,True,Credit card (automatic),39.4,825.4,20,False,,0.0,Standard,788.0,Active,Non-Senior,Has Partner,Has Dependents,No,Yes,13-24,31-60,0-1K,,0-2K,,,,
0057-QBUQH,Female,False,False,True,True,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,True,Electronic check,25.1,1070.15,43,False,,20.0,Medium Value Stable,1079.3,Active,Non-Senior,Single,Has Dependents,Yes,Yes,37-60,0-30,1K-2K,,0-2K,,,,
0058-EVZWM,Female,False,True,False,True,Yes,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,True,Bank transfer (automatic),89.8,4959.6,55,False,,45.0,Standard,4939.0,Active,Non-Senior,Has Partner,No Dependents,Yes,Yes,37-60,61-90,3K-5K,,4K-6K,,,,
0060-FUALY,Female,False,True,False,True,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,True,Electronic check,94.75,5597.65,59,False,,65.0,High Risk,5590.25,Active,Non-Senior,Has Partner,No Dependents,Yes,Yes,37-60,91-120,5K+,,4K-6K,,,,
0064-SUDOG,Female,False,True,True,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,False,Bank transfer (automatic),20.3,224.5,12,False,,0.0,Standard,243.6,Active,Non-Senior,Has Partner,Has Dependents,Yes,No,0-12,0-30,0-1K,,0-2K,,,,
0064-YIJGF,Male,False,True,True,True,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,True,Bank transfer (automatic),75.75,1929.0,27,False,,30.0,Medium Value Stable,2045.25,Active,Non-Senior,Has Partner,Has Dependents,Yes,Yes,25-36,61-90,1K-2K,,2K-4K,,,,
0067-DKWBL,Male,True,False,False,True,No,DSL,Yes,No,No,No,No,No,Month-to-month,True,Electronic check,49.25,91.1,2,True,2025-09-10,75.0,High Risk,98.5,Churned,Senior,Single,No Dependents,Yes,Yes,0-12,31-60,0-1K,,0-2K,2025.0,9.0,3.0,September
0068-FIGTF,Female,False,False,False,True,No,DSL,No,Yes,Yes,Yes,Yes,Yes,One year,False,Mailed check,78.2,2078.95,27,False,,10.0,High Value Loyal,2111.4,Active,Non-Senior,Single,No Dependents,Yes,No,25-36,61-90,2K-3K,,2K-4K,,,,
0071-NDAFP,Male,False,True,True,True,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,False,Credit card (automatic),25.5,630.6,25,False,,0.0,Standard,637.5,Active,Non-Senior,Has Partner,Has Dependents,Yes,No,25-36,0-30,0-1K,,0-2K,,,,
0074-HDKDG,Male,False,True,True,True,No,DSL,Yes,Yes,Yes,No,No,No,One year,True,Bank transfer (automatic),61.6,1611.0,25,False,,10.0,Medium Value Stable,1540.0,Active,Non-Senior,Has Partner,Has Dependents,Yes,Yes,25-36,61-90,1K-2K,,0-2K,,,,
0076-LVEPS,Male,False,False,True,False,No phone service,DSL,Yes,Yes,Yes,Yes,No,No,Month-to-month,True,Mailed check,45.0,1242.45,29,False,,30.0,Medium Value Stable,1305.0,Active,Non-Senior,Single,Has Dependents,No,Yes,25-36,31-60,1K-2K,,0-2K,,,,
0078-XZMHT,Male,False,True,False,True,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,True,Bank transfer (automatic),85.15,6316.2,72,False,,0.0,High Value Loyal,6130.8,Active,Non-Senior,Has Partner,No Dependents,Yes,Yes,60+,61-90,5K+,,6K-8K,,,,
0080-EMYVY,Female,False,False,False,True,No,DSL,No,Yes,No,No,No,No,One year,False,Credit card (automatic),51.45,727.85,14,False,,10.0,Standard,720.3,Active,Non-Senior,Single,No Dependents,Yes,No,13-24,31-60,0-1K,,0-2K,,,,
0080-OROZO,Female,False,False,False,True,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,One year,True,Electronic check,99.25,3532.0,35,False,,45.0,Standard,3473.75,Active,Non-Senior,Single,No Dependents,Yes,Yes,25-36,91-120,3K-5K,,2K-4K,,,,
0082-LDZUE,Male,False,False,False,True,No,DSL,No,No,No,No,No,No,Month-to-month,True,Mailed check,44.3,44.3,1,False,,55.0,New Customers,44.3,Active,Non-Senior,Single,No Dependents,Yes,Yes,0-12,31-60,0-1K,,0-2K,,,,
0082-OQIQY,Male,False,False,False,True,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,True,Electronic check,94.2,2607.6,29,False,,65.0,High Risk,2731.8,Active,Non-Senior,Single,No Dependents,Yes,Yes,25-36,91-120,2K-3K,,2K-4K,,,,
0083-PIVIK,Male,False,False,False,True,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,One year,False,Electronic check,81.25,5567.55,64,False,,30.0,Medium Value Stable,5200.0,Active,Non-Senior,Single,No Dependents,Yes,No,60+,61-90,5K+,,4K-6K,,,,
0089-IIQKO,Female,False,True,True,True,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,True,Credit card (automatic),99.95,3767.4,39,False,,45.0,Standard,3898.05,Active,Non-Senior,Has Partner,Has Dependents,Yes,Yes,37-60,91-120,3K-5K,,2K-4K,,,,
0093-EXYQL,Female,True,False,False,True,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,True,Electronic check,91.55,3673.6,40,False,,65.0,High Risk,3662.0,Active,Senior,Single,No Dependents,Yes,Yes,37-60,91-120,3K-5K,,2K-4K,,,,
0093-XWZFY,Male,False,False,False,True,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,True,Credit card (automatic),104.5,4036.85,40,True,2025-09-10,45.0,Standard,4180.0,Churned,Non-Senior,Single,No Dependents,Yes,Yes,37-60,91-120,3K-5K,,4K-6K,2025.0,9.0,3.0,September
0094-OIFMO,Female,True,False,False,True,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,True,Electronic check,95.0,1120.3,11,True,2025-09-10,90.0,High Risk,1045.0,Churned,Senior,Single,No Dependents,Yes,Yes,0-12,91-120,1K-2K,,0-2K,2025.0,9.0,3.0,September
0096-BXERS,Female,False,True,False,True,Yes,DSL,No,No,No,No,No,No,Month-to-month,False,Electronic check,50.35,314.55,6,False,,75.0,High Risk,302.1,Active,Non-Senior,Has Partner,No Dependents,Yes,No,0-12,31-60,0-1K,,0-2K,,,,
0096-FCPUF,Male,False,False,False,True,Yes,DSL,Yes,No,No,No,No,Yes,Month-to-month,True,Mailed check,64.5,1888.45,30,False,,30.0,Medium Value Stable,1935.0,Active,Non-Senior,Single,No Dependents,Yes,Yes,25-36,61-90,1K-2K,,0-2K,,,,
0098-BOWSO,Male,False,False,False,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,True,Electronic check,19.4,529.8,27,False,,50.0,Standard,523.8,Active,Non-Senior,Single,No Dependents,Yes,Yes,25-36,0-30,0-1K,,0-2K,,,,
0100-DUVFC,Male,True,True,False,True,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,True,Electronic check,104.8,7308.95,70,False,,45.0,Standard,7336.0,Active,Senior,Has Partner,No Dependents,Yes,Yes,60+,91-120,5K+,,6K-8K,,,,
0103-CSITQ,Female,False,True,False,True,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,True,Bank transfer (automatic),109.4,6252.7,57,False,,25.0,Medium Value Stable,6235.8,Active,Non-Senior,Has Partner,No Dependents,Yes,Yes,37-60,91-120,5K+,,6K-8K,,,,
0104-PPXDV,Male,False,True,False,True,No,DSL,No,No,Yes,No,No,No,One year,False,Credit card (automatic),50.3,2878.55,58,False,,10.0,High Value Loyal,2917.4,Active,Non-Senior,Has Partner,No Dependents,Yes,No,37-60,31-60,2K-3K,,2K-4K,,,,
